"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 03:23:48:552","03-17-2022 03:24:34:849","46.297","32","360.6752275093419","3354.895000000001"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:24:54:708","03-17-2022 03:25:18:288","23.58","34.188888888888904","708.1501699745547","1620.17"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 03:25:33:316","03-17-2022 03:25:59:558","26.242","34.160000000000004","3831.616804511851","2077.181"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 03:26:11:413","03-17-2022 03:27:34:154","82.741","32","1215.2293081301893","6074.303"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 03:27:56:382","03-17-2022 03:28:25:907","29.525","34.23333333333334","3405.564375410669","2100.193"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 03:28:40:580","03-17-2022 03:30:48:655","128.075","34.295384615384606","1867.7548476439588","9886.331999999997"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 03:31:00:800","03-17-2022 03:33:30:834","150.034","32","1594.3899523574657","10995.383999999996"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 03:33:56:908","03-17-2022 03:34:50:545","53.637","34.20178571428571","4459.844922572105","5015.5729999999985"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:35:06:138","03-17-2022 03:35:28:607","22.469","34.25000000000001","743.1652947616716","1477.8350000000003"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 03:35:40:284","03-17-2022 03:36:23:345","43.061","32","387.77968481920993","3156.801"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:36:43:041","03-17-2022 03:37:07:147","24.106","34.057142857142864","692.6981252800133","1602.96"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 03:37:22:240","03-17-2022 03:37:53:923","31.683","34.19142857142856","3173.603768077518","2397.898"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 03:38:05:318","03-17-2022 03:39:24:716","79.398","32","1266.3957301695257","5842.26"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 03:39:47:493","03-17-2022 03:40:14:585","27.092","34.422580645161304","3711.4014537132734","2079.343"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 03:40:29:659","03-17-2022 03:42:01:445","91.786","34.13052631578943","2606.200314993572","6920.872999999997"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 03:42:14:347","03-17-2022 03:44:31:172","136.825","32","1748.3113620464096","10341.384"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 03:45:00:014","03-17-2022 03:45:45:258","45.244","34.21836734693877","5287.169616125895","4360.58"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:46:01:180","03-17-2022 03:46:18:953","17.773","34.214285714285715","939.5251790918809","1158.518"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 03:46:30:523","03-17-2022 03:47:12:742","42.219","32","395.5134183187664","3118.2709999999997"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:47:29:972","03-17-2022 03:47:52:251","22.279","34.073076923076925","749.5031647740025","1501.2470000000005"
