"intercloud-image,10.0,0","(1, 12, 32, 2.2, 67.24994018374603)"
"intercloud-image,10.0,100","(4, 12, 16, 1.4, 155.62386941619047)"
"intercloud-image,10.0,200","(16, 8, 20, 1.4, 247.5683743140036)"
"intercloud-image,10.0,300","(16, 4, 8, 1.6, 350.94255617986397)"
"intercloud-image,10.0,400","(32, 8, 32, 1.6, 442.05976934957556)"
"intercloud-image,10.0,500","(28, 1, 4, 2.0, 527.7072110714286)"
"intercloud-image,10.0,600","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,10.0,700","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,10.0,800","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,10.0,900","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,20.0,0","(1, 12, 32, 2.2, 67.24994018374603)"
"intercloud-image,20.0,100","(4, 12, 16, 1.4, 155.62386941619047)"
"intercloud-image,20.0,200","(16, 8, 20, 1.4, 247.5683743140036)"
"intercloud-image,20.0,300","(16, 4, 8, 1.6, 350.94255617986397)"
"intercloud-image,20.0,400","(32, 8, 32, 1.6, 442.05976934957556)"
"intercloud-image,20.0,500","(28, 1, 4, 2.0, 527.7072110714286)"
"intercloud-image,20.0,600","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,20.0,700","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,20.0,800","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,20.0,900","(32, 1, 4, 2.0, 606.4265366500001)"
"intercloud-image,30.0,0","(1, 12, 32, 2.2, 67.24994018374603)"
"intercloud-image,30.0,100","(4, 12, 16, 1.4, 155.62386941619047)"
"intercloud-image,30.0,200","(16, 8, 20, 1.4, 247.5683743140036)"
"intercloud-image,30.0,300","(16, 4, 8, 1.6, 350.94255617986397)"
"intercloud-image,30.0,400","(32, 8, 32, 1.6, 442.05976934957556)"
"intercloud-image,30.0,500","(28, 1, 4, 2.0, 527.7072110714286)"
"intercloud-image,30.0,600","(32, 1, 4, 2.0, 606.4265366500001)"
