105856  0
86279	1
42605	2
111176	3
137470	4
99192	5
102590	6
154902	7
104155	8
97201	9
123356	10
127936	11
64184	12
128284	13
146415	14
121981	15
92549	16
67006	17
72840	18
103118	19
37086	20
93429	21
121002	22
122918	23
112951	24
42153	25
103842	26
95550	27
110509	28
97184	29
91945	30
83853	31
112787	32
84465	33
74557	34
76247	35
139130	36
140301	37
120307	38
141575	39
93859	40
74538	41
99983	42
102789	43
123527	44
88459	45
105587	46
96749	47
140992	48
107625	49
116844	50
84527	51
123609	52
56879	53
98767	54
117307	55
146056	56
126078	57
98811	58
183909	59
93629	60
86426	61
101471	62
98269	63
60431	64
111974	65
115557	66
120269	67
110975	68
92182	69
137781	70
100293	71
112046	72
165294	73
95775	74
162574	75
121110	76
123189	77
106698	78
118643	79
106722	80
97917	81
148969	82
134607	83
128260	84
101395	85
85730	86
91955	87
80551	88
86704	89
150778	90
53615	91
132707	92
92501	93
139111	94
125766	95
115042	96
110950	97
76514	98
123758	99
122286	100
111308	101
62740	102
79524	103
109621	104
113874	105
142384	106
93322	107
120023	108
126959	109
86182	110
47503	111
107956	112
108343	113
116649	114
105926	115
129870	116
86695	117
131247	118
121640	119
116289	120
160068	121
96141	122
96581	123
82111	124
68829	125
99483	126
107256	127
75045	128
109948	129
126997	130
92864	131
117477	132
131755	133
133758	134
125554	135
66661	136
108807	137
101840	138
78425	139
69230	140
111667	141
97288	142
109507	143
114508	144
161052	145
48249	146
81975	147
129181	148
107668	149
127363	150
95473	151
87286	152
109938	153
22574	154
146872	155
134196	156
91442	157
83559	158
114543	159
121730	160
101528	161
101342	162
125869	163
94554	164
90817	165
88047	166
83414	167
152758	168
64171	169
144230	170
41452	171
103189	172
134999	173
97088	174
77806	175
110138	176
55351	177
58914	178
154489	179
117205	180
102180	181
110814	182
73414	183
127132	184
144294	185
114324	186
51715	187
157845	188
148174	189
129914	190
94421	191
112722	192
114056	193
100120	194
90217	195
46129	196
72985	197
46733	198
117442	199
85715	200
56527	201
101397	202
90992	203
116324	204
72050	205
102902	206
52364	207
138952	208
76743	209
86626	210
75615	211
145482	212
134327	213
105989	214
82688	215
120415	216
97477	217
150809	218
121151	219
92209	220
81228	221
113743	222
94687	223
115014	224
134548	225
77293	226
111793	227
150045	228
80018	229
116315	230
136284	231
