# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,10000,1070.8,4158.7,61,71,16
2,2839.22,10000,2557.6,4158.7,61,71,9
3,2370.58,2839.22,2422,2752.8,58,33,9
4,1901.94,2370.58,1913,2222.5,59,21,15,
5,0,1901.94,1060.6,2249.1,30,46,4
