# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,10000,653.87,817.68,61,32,2
2,709.16,1000,606.46,871.56,59,33,4
3,637.48,709.16,694.08,780.57,43,40,4
4,565.8,637.48,722.14,776.94,29,70,4
5,0,565.8,837.45,1318.7,29,70,4
