# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,10000,3797.7,4626.6,42,36,8
2,747.92,1000,3316.8,4510.6,70,14,2
3,664.03,747.92,3419,6331.8,44,36,2
4,580.14,664.03,4143.5,4621.6,40,49,7
5,0,580.14,4120.4,4919,70,14,4
