# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,1000,658.3,852.22,50,2,4
2,757.09,1000,784.9,852.22,50,2,8
3,647.21,757.09,681.1,752,45,3,19
4,0,647.21,454.92,591.16,70,1,2
