# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,1000,330.8,940.44,16,3,2
2,881.36,1000,882,939.77,23,5,6
3,748.99,881.36,780.4,881.05,9,4,6
4,0,748.99,330.8,721.33,12,1,6
