# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,1000,597.67,758.71,46,35,5
2,747.92,1000,760.81,812.1,70,14,5
3,664.03,747.92,678.73,724.06,46,36,4
4,580.14,664.03,592.71,610,40,49,9
5,0,580.14,543.52,579.47,70,14,5
