# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,1000,557.91,679.76,70,29,2
2,709.16,1000,725.36,2249.1,70,29,4
3,637.48,709.16,662.08,681.04,39,45,4
4,565.8,637.48,579.78,622.78,70,29,4
5,0,565.8,535.99,2249.1,43,40,4
