# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,10000,1056.5,7979.8,35,19,10
2,8009.0,10000,8047.3,8540.7,40,49,4
3,5620.53,8009.0,5725,7790.3,13,37,4
4,3232.06,5620.53,3296,5623.1,31,19,22
5,0,3232.06,559.263,3656.5,29,37,10
