# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,10000,3820.5,8104,32,1,13
2,8323.17,10000,8104.5,8735.9,32,5,22
3,7309.42,8323.17,7314,8216,20,15,10
4,6295.67,7309.42,6405,7316.9,17,11,20
5,0,6295.67,1486.5,6454,39,7,24
