# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,10000,3017.3,5836.8,12,4,13
2,8323.17,10000,2805.6,3347.3,10,9,20
3,7309.42,8323.17,2985.3,3731.7,10,7,4
4,6295.67,7309.42,3288,4027.4,8,4,20
5,0,6295.67,3838.9,14800,41,5,19
