# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,10000,1156,6583.2,48,28,10
2,8009.0,10000,1129.1,1398.3,28,26,3
3,5620.53,8009.0,1264.2,1694.9,13,37,4
4,3232.06,5620.53,1728.5,2775.5,31,20,22
5,0,3232.06,2970.5,8184.9,24,28,10
