# Interval_Num, Min_Tput, Max Tput, Min Conf Tput, Max Conf Tput, cc, pp, cores
1,0,1000,371,951.75,34,6,6
2,880.87,1000,884.25,937.59,28,10,8
3,773.72,880.87,786.36,849.75,16,2,6
4,0,773.72,371,778.97,30,25,3
