# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,10000,397.76,771.26,61,71,4
2,2839.22,10000,397.76,613.67,61,71,15
3,2370.58,2839.22,567.29,732.29,52,52,9
4,1901.94,2370.58,697.31,816.25,55,21,15
5,0,1901.94,830.47,1395.3,21,71,4
