# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,1000,4065.9,9168.7,16,8,2
2,880.87,1000,3888.6,4817.3,16,8,2
3,773.72,880.87,4334.4,5188,17,14,2
4,0,773.72,4639.7,9168.7,30,25,3

