# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,1000,710.46,2479.7,47,62,2
2,716.33,1000,724.26,901.2,70,52,2
3,509.01,716.33,984.97,1200.8,20,23,2
4,0,509.01,1338,2479.7,17,25,2

