# Interval_Num, Min_Tput, Max Tput, Min Conf Energy, Max Conf Energy, cc, pp, cores
1,0,1000,9151.6,24715,8,9,2
2,881.36,1000,9128,1130.3,8,9,2
3,748.99,881.36,1040.4,1225.8,9,4,2
4,0,748.99,1255.1,2471.5,4,4,2

