"chameleon-HTML,10.0,100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,800","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,900","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1000","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,10.0,1700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,800","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,900","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1000","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,20.0,1700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,800","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,900","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1000","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,30.0,1700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,800","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,900","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1000","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,40.0,1700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,300","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,400","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,500","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,600","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,700","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,800","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,900","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,1000","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,1100","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,1200","(4, 16, 40, 2.0, 40.4525512023245)"
"chameleon-HTML,50.0,1300","(4, 16, 40, 2.0, 40.4525512023245)"
