"chameleon-video,10.0,0","(16, 32, 20, 2.2, 656.5699161452088)"
"chameleon-video,10.0,1000","(28, 12, 2, 1.2, 1738.7545158028674)"
"chameleon-video,10.0,2000","(8, 1, 16, 1.4, 2469.9217859701694)"
"chameleon-video,10.0,3000","(28, 28, 48, 1.2, 3536.8518251205332)"
"chameleon-video,10.0,4000","(12, 8, 8, 1.8, 4446.083913366472)"
"chameleon-video,10.0,5000","(32, 8, 28, 1.6, 5487.948200883172)"
"chameleon-video,10.0,6000","(32, 1, 20, 2.3, 6370.777121386712)"
"chameleon-video,10.0,7000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,10.0,8000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,10.0,9000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,20.0,0","(16, 32, 20, 2.2, 656.5699161452088)"
"chameleon-video,20.0,1000","(28, 12, 2, 1.2, 1738.7545158028674)"
"chameleon-video,20.0,2000","(8, 1, 16, 1.4, 2469.9217859701694)"
"chameleon-video,20.0,3000","(28, 28, 48, 1.2, 3536.8518251205332)"
"chameleon-video,20.0,4000","(12, 8, 8, 1.8, 4446.083913366472)"
"chameleon-video,20.0,5000","(32, 8, 28, 1.6, 5487.948200883172)"
"chameleon-video,20.0,6000","(32, 1, 20, 2.3, 6370.777121386712)"
"chameleon-video,20.0,7000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,20.0,8000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,20.0,9000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,30.0,0","(16, 32, 20, 2.2, 656.5699161452088)"
"chameleon-video,30.0,1000","(28, 12, 2, 1.2, 1738.7545158028674)"
"chameleon-video,30.0,2000","(8, 1, 16, 1.4, 2469.9217859701694)"
"chameleon-video,30.0,3000","(28, 28, 48, 1.2, 3536.8518251205332)"
"chameleon-video,30.0,4000","(12, 8, 8, 1.8, 4446.083913366472)"
"chameleon-video,30.0,5000","(32, 8, 28, 1.6, 5487.948200883172)"
"chameleon-video,30.0,6000","(32, 1, 20, 2.3, 6370.777121386712)"
"chameleon-video,30.0,7000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,30.0,8000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,30.0,9000","(28, 8, 40, 1.8, 7113.388445210525)"
"chameleon-video,40.0,0","(1, 20, 24, 1.4, 601.52709824)"
"chameleon-video,40.0,1000","(4, 28, 16, 1.6, 1862.3083863333334)"
"chameleon-video,40.0,2000","(20, 32, 44, 1.4, 2612.9855441428567)"
"chameleon-video,40.0,3000","(16, 28, 28, 2.0, 3512.268445)"
"chameleon-video,40.0,4000","(28, 20, 32, 2.2, 4458.226889)"
"chameleon-video,40.0,5000","(28, 8, 32, 1.8, 6401.929383)"
"chameleon-video,40.0,6000","(28, 8, 32, 1.8, 6401.929383)"
"chameleon-video,40.0,7000","(28, 8, 48, 2.2, 7025.306383)"
"chameleon-video,40.0,8000","(28, 8, 48, 2.2, 7025.306383)"
"chameleon-video,40.0,9000","(28, 8, 48, 2.2, 7025.306383)"
"chameleon-video,50.0,0","(4, 28, 36, 2.3, 1760.011899)"
"chameleon-video,50.0,1000","(4, 28, 36, 2.3, 1760.011899)"
"chameleon-video,50.0,2000","(16, 24, 44, 1.6, 2421.0230158000004)"
"chameleon-video,50.0,3000","(12, 1, 40, 2.2, 3185.1907410000003)"
"chameleon-video,50.0,4000","(12, 1, 40, 2.2, 3185.1907410000003)"
"chameleon-video,50.0,5000","(12, 1, 40, 2.2, 3185.1907410000003)"
"chameleon-video,50.0,6000","(12, 1, 40, 2.2, 3185.1907410000003)"
"chameleon-video,50.0,7000","(12, 1, 40, 2.2, 3185.1907410000003)"
"chameleon-video,50.0,8000","(12, 1, 40, 2.2, 3185.1907410000003)"
"chameleon-video,50.0,9000","(12, 1, 40, 2.2, 3185.1907410000003)"
"chameleon-video,60.0,0","(4, 28, 12, 1.6, 1540.502484)"
"chameleon-video,60.0,1000","(4, 28, 12, 1.6, 1540.502484)"
"chameleon-video,60.0,2000","(8, 20, 48, 1.4, 2723.512244)"
"chameleon-video,60.0,3000","(16, 24, 16, 2.3, 3242.9093258000003)"
"chameleon-video,60.0,4000","(16, 24, 16, 2.3, 3242.9093258000003)"
"chameleon-video,60.0,5000","(16, 24, 16, 2.3, 3242.9093258000003)"
"chameleon-video,60.0,6000","(16, 24, 16, 2.3, 3242.9093258000003)"
"chameleon-video,60.0,7000","(16, 24, 16, 2.3, 3242.9093258000003)"
"chameleon-video,60.0,8000","(16, 24, 16, 2.3, 3242.9093258000003)"
"chameleon-video,60.0,9000","(16, 24, 16, 2.3, 3242.9093258000003)"
"chameleon-video,70.0,0","(24, 20, 2, 1.4, 1960.320182)"
"chameleon-video,70.0,1000","(24, 20, 2, 1.4, 1960.320182)"
"chameleon-video,70.0,2000","(32, 24, 16, 1.2, 2350.137491)"
"chameleon-video,70.0,3000","(28, 8, 20, 2.3, 3367.8699955)"
"chameleon-video,70.0,4000","(24, 1, 36, 1.8, 4306.0942)"
"chameleon-video,70.0,5000","(24, 1, 36, 1.8, 4306.0942)"
"chameleon-video,70.0,6000","(24, 1, 36, 1.8, 4306.0942)"
"chameleon-video,70.0,7000","(24, 1, 36, 1.8, 4306.0942)"
"chameleon-video,70.0,8000","(24, 1, 36, 1.8, 4306.0942)"
"chameleon-video,70.0,9000","(24, 1, 36, 1.8, 4306.0942)"
"chameleon-video,80.0,0","(32, 20, 32, 2.3, 2443.6242862)"
"chameleon-video,80.0,1000","(32, 20, 32, 2.3, 2443.6242862)"
"chameleon-video,80.0,2000","(32, 20, 32, 2.3, 2443.6242862)"
"chameleon-video,80.0,3000","(28, 4, 8, 2.0, 3471.3115035)"
"chameleon-video,80.0,4000","(28, 4, 8, 2.0, 3471.3115035)"
"chameleon-video,80.0,5000","(28, 4, 8, 2.0, 3471.3115035)"
"chameleon-video,80.0,6000","(28, 4, 8, 2.0, 3471.3115035)"
"chameleon-video,80.0,7000","(28, 4, 8, 2.0, 3471.3115035)"
"chameleon-video,80.0,8000","(28, 4, 8, 2.0, 3471.3115035)"
"chameleon-video,80.0,9000","(28, 4, 8, 2.0, 3471.3115035)"
"chameleon-video,90.0,0","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,1000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,2000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,3000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,4000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,5000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,6000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,7000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,8000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,90.0,9000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,0","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,1000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,2000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,3000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,4000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,5000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,6000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,7000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,8000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,100.0,9000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,0","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,1000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,2000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,3000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,4000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,5000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,6000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,7000","(16, 4, 28, 2.2, 4268.572345)"
"chameleon-video,110.0,8000","(16, 4, 28, 2.2, 4268.572345)"
