"chameleon-image,10.0,0","(28, 1, 44, 2.3, 478.58394680735483)"
"chameleon-image,10.0,1000","(8, 12, 4, 2.3, 1541.4005720398468)"
"chameleon-image,10.0,2000","(24, 20, 24, 1.2, 2513.4583607485874)"
"chameleon-image,10.0,3000","(16, 16, 32, 2.0, 3334.558068826953)"
"chameleon-image,10.0,4000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,10.0,5000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,10.0,6000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,10.0,7000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,10.0,8000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,10.0,9000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,20.0,0","(28, 1, 44, 2.3, 478.58394680735483)"
"chameleon-image,20.0,1000","(8, 12, 4, 2.3, 1541.4005720398468)"
"chameleon-image,20.0,2000","(24, 20, 24, 1.2, 2513.4583607485874)"
"chameleon-image,20.0,3000","(16, 16, 32, 2.0, 3334.558068826953)"
"chameleon-image,20.0,4000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,20.0,5000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,20.0,6000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,20.0,7000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,20.0,8000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,20.0,9000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,30.0,0","(28, 1, 44, 2.3, 478.58394680735483)"
"chameleon-image,30.0,1000","(8, 12, 4, 2.3, 1541.4005720398468)"
"chameleon-image,30.0,2000","(24, 20, 24, 1.2, 2513.4583607485874)"
"chameleon-image,30.0,3000","(16, 16, 32, 2.0, 3334.558068826953)"
"chameleon-image,30.0,4000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,30.0,5000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,30.0,6000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,30.0,7000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,30.0,8000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,30.0,9000","(32, 8, 20, 2.3, 4066.270333)"
"chameleon-image,40.0,0","(1, 28, 36, 1.4, 325.6791717666667)"
"chameleon-image,40.0,1000","(32, 8, 8, 1.2, 1393.925544)"
"chameleon-image,40.0,2000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,40.0,3000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,40.0,4000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,40.0,5000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,40.0,6000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,40.0,7000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,40.0,8000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,40.0,9000","(20, 12, 8, 1.8, 2368.0367693333337)"
"chameleon-image,50.0,0","(4, 1, 16, 2.3, 106.5447)"
"chameleon-image,50.0,1000","(28, 12, 2, 1.6, 1239.3333025000002)"
"chameleon-image,50.0,2000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,50.0,3000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,50.0,4000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,50.0,5000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,50.0,6000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,50.0,7000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,50.0,8000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,50.0,9000","(24, 24, 20, 1.4, 2216.830712)"
"chameleon-image,60.0,0","(8, 24, 4, 2.2, 1603.545058)"
"chameleon-image,60.0,1000","(8, 24, 4, 2.2, 1603.545058)"
"chameleon-image,60.0,2000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,60.0,3000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,60.0,4000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,60.0,5000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,60.0,6000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,60.0,7000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,60.0,8000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,60.0,9000","(16, 28, 24, 2.0, 2129.951127)"
"chameleon-image,70.0,0","(32, 1, 24, 2.0, 314.97679146666667)"
"chameleon-image,70.0,1000","(12, 16, 24, 2.0, 1422.164891)"
"chameleon-image,70.0,2000","(12, 16, 24, 2.0, 1422.164891)"
"chameleon-image,70.0,3000","(12, 16, 24, 2.0, 1422.164891)"
